index,theta,re,im,boundary_re,boundary_im,land_fraction,coastline_density,num_continents,largest_continent_frac,height_variance,land_height_variance,land_hist_occupied_bins,land_hist_entropy_norm,x_min,x_max,y_min,y_max
17,0.5410520681,0.3854166845,0.2315817076,0.3854166845,0.2315817076,0.1756362915,0.03073120117,125,0.9954823856,0.0989549309,0.06254824251,8,0.7253018808,-1.182352941,1.182352941,-1.429411765,1.429411765
18,0.5585053606,0.3772206333,0.2357136126,0.3772206333,0.2357136126,0.2081451416,0.02356719971,53,0.9989003739,0.1312896311,0.04178785533,8,0.5466391628,-1.182352941,1.182352941,-1.429411765,1.429411765
19,0.5934119457,0.3759644123,0.2535911981,0.3759644123,0.2535911981,0.2071609497,0.02376556396,65,0.9985636946,0.1261839867,0.04674562439,8,0.6102361244,-1.194117647,1.194117647,-1.429411765,1.429411765
20,0.6108652382,0.3836009929,0.2686003069,0.3836009929,0.2686003069,0.1613769531,0.03454589844,187,0.9928611952,0.0853664726,0.06424212456,8,0.8089146532,-1.194117647,1.194117647,-1.429411765,1.429411765
21,0.6283185307,0.3737186802,0.2715225146,0.3737186802,0.2715225146,0.2094650269,0.02169799805,45,0.9991622655,0.1372655332,0.03445557505,8,0.4702442443,-1.194117647,1.194117647,-1.441176471,1.441176471
22,0.6981317008,0.3738929392,0.3137334274,0.4121951614,0.3458728079,0.1823425293,0.02714538574,95,0.9969456067,0.1197262108,0.04960881919,6,0.4611778504,-1.217647059,1.217647059,-1.441176471,1.441176471
23,0.7155849933,0.3625789752,0.3151850945,0.4003144542,0.347988046,0.2191009521,0.01753997803,37,0.9993035727,0.1254554391,0.05392025784,8,0.6341379145,-1.217647059,1.217647059,-1.429411765,1.429411765
24,0.7679448709,0.3603635435,0.3479990288,0.3747503395,0.3618921962,0.1956710815,0.02310180664,67,0.9985963271,0.1307966858,0.04253554344,5,0.4095600909,-1.241176471,1.241176471,-1.441176471,1.441176471
25,0.8203047484,0.3453107122,0.370300403,0.3453107122,0.370300403,0.1990966797,0.02465820313,63,0.9983139178,0.1221711934,0.04764804244,8,0.6106048468,-1.252941176,1.252941176,-1.429411765,1.429411765
26,0.837758041,0.3449558646,0.3831123003,0.3449558646,0.3831123003,0.1771240234,0.02989959717,147,0.9957787733,0.1034559608,0.05648936331,8,0.7016044166,-1.264705882,1.264705882,-1.441176471,1.441176471
27,0.8552113335,0.3357755514,0.3862655862,0.3357755514,0.3862655862,0.2066955566,0.02159881592,49,0.9989295733,0.1373922825,0.03365356475,8,0.4472907961,-1.264705882,1.264705882,-1.441176471,1.441176471
28,0.907571211,0.3296343978,0.4219127891,0.3296343978,0.4219127891,0.1614227295,0.03337097168,195,0.9933831175,0.08876687288,0.06296287477,8,0.7756619555,-1.276470588,1.276470588,-1.429411765,1.429411765
29,0.9250245036,0.3180980358,0.4221303511,0.3180980358,0.4221303511,0.1922531128,0.02610015869,103,0.9963490615,0.1088623255,0.05680124089,8,0.727818724,-1.264705882,1.264705882,-1.429411765,1.429411765
30,0.9599310886,0.3107943656,0.4438603538,0.3107943656,0.4438603538,0.1746902466,0.03016662598,113,0.996637114,0.101426132,0.05743893236,8,0.7119573285,-1.3,1.3,-1.441176471,1.441176471
31,0.9773843811,0.3004871057,0.4454904544,0.3004871057,0.4454904544,0.2027359009,0.02256774902,65,0.9986828736,0.1292852759,0.04021019489,8,0.5446486991,-1.3,1.3,-1.441176471,1.441176471
32,0.9948376736,0.2965740453,0.4566839816,0.2965740453,0.4566839816,0.1894607544,0.02611541748,95,0.9978254742,0.1193296164,0.04613277689,8,0.5835415424,-1.311764706,1.311764706,-1.429411765,1.429411765
33,1.012290966,0.2890208356,0.4625300228,0.2890208356,0.4625300228,0.1988296509,0.02319335938,55,0.9986186255,0.1278195381,0.04015034437,8,0.5378230773,-1.311764706,1.311764706,-1.441176471,1.441176471
34,1.047197551,0.2807164504,0.4862151546,0.3307164504,0.572817695,0.1823196411,0.02559661865,71,0.9978658409,0.1092667431,0.06014115363,8,0.6292492811,-1.323529412,1.323529412,-1.417647059,1.417647059
35,1.064650844,0.2697378919,0.4866200383,0.3182188539,0.574082009,0.2117233276,0.01732635498,27,0.9995315484,0.1088920832,0.06434495747,8,0.7780656878,-1.335294118,1.335294118,-1.441176471,1.441176471
36,1.169370599,0.2241166407,0.5279857182,0.2241166407,0.5279857182,0.2023086548,0.02135467529,19,0.9995851718,0.1292015761,0.0412857607,8,0.5414741744,-1.370588235,1.370588235,-1.429411765,1.429411765
37,1.186823891,0.2165236885,0.5359149348,0.2165236885,0.5359149348,0.1969223022,0.02327728271,49,0.9987214753,0.131617561,0.03560521081,8,0.4537425486,-1.370588235,1.370588235,-1.429411765,1.429411765
38,1.204277184,0.2092918854,0.5452240019,0.2092918854,0.5452240019,0.1869049072,0.0259475708,93,0.9975916401,0.1138631776,0.04883118346,8,0.6475742612,-1.370588235,1.370588235,-1.417647059,1.417647059
39,1.256637061,0.1828948022,0.5628923218,0.1828948022,0.5628923218,0.1890945435,0.0263671875,83,0.9973370991,0.1066645682,0.05684809387,8,0.7386638098,-1.394117647,1.394117647,-1.429411765,1.429411765
40,1.274090354,0.1774541192,0.5804262705,0.1774541192,0.5804262705,0.1547012329,0.03351593018,197,0.991320215,0.08427302539,0.06375391036,8,0.7911633408,-1.382352941,1.382352941,-1.417647059,1.417647059
41,1.343903524,0.1358816867,0.5885682476,0.1358816867,0.5885682476,0.2001800537,0.02151489258,41,0.9991996341,0.1336172819,0.03448804468,8,0.4570724335,-1.405882353,1.405882353,-1.417647059,1.417647059
42,1.413716694,0.09656852994,0.6097097022,0.09656852994,0.6097097022,0.1907730103,0.02439880371,43,0.998920216,0.1081974804,0.0590961501,8,0.7186759469,-1.441176471,1.441176471,-1.405882353,1.405882353
43,1.431169987,0.08647797176,0.6153227419,0.08647797176,0.6153227419,0.1855010986,0.02686309814,85,0.9963395575,0.1061142683,0.05554776266,8,0.7300360053,-1.441176471,1.441176471,-1.405882353,1.405882353
44,1.448623279,0.07598946912,0.6188845614,0.07598946912,0.6188845614,0.1924819946,0.02377319336,75,0.9979388799,0.1300044954,0.03460366651,8,0.4428714279,-1.441176471,1.441176471,-1.394117647,1.394117647
45,1.466076572,0.06537363238,0.6219885641,0.06537363238,0.6219885641,0.1932373047,0.02404785156,45,0.9990129501,0.1221177652,0.04449730739,8,0.5775225225,-1.464705882,1.464705882,-1.405882353,1.405882353
46,1.483529864,0.05608898799,0.6411000663,0.05434587314,0.6211761724,0.1513290405,0.03374481201,241,0.9898159819,0.08383090794,0.06476993859,8,0.7692185567,-1.464705882,1.464705882,-1.394117647,1.394117647
